repo,fingerprint,first_commit,quarter,is_frontend
igiffrekt/serenityshop,CLAUDE.md,2026-02-08T18:48:50Z,2026Q1,1
AttadeepG/portfolio,CLAUDE.md,2026-05-10T06:11:33Z,2026Q2,1
ldw-templates/nextjs-shadcn-template,CLAUDE.md,2026-02-10T07:51:12Z,2026Q1,1
JupiterWalker/Mijin,CLAUDE.md,2026-03-21T10:12:13Z,2026Q1,1
jblacketter/qaagent,CLAUDE.md,2026-02-16T19:19:05Z,2026Q1,0
raoroger380/nywsr724,CLAUDE.md,2026-05-23T09:28:15Z,2026Q2,1
zaghamarshad/dykm,CLAUDE.md,2026-06-06T01:45:09Z,2026Q2,1
Estara10/quadruped_robots,CLAUDE.md,2026-05-29T01:32:47Z,2026Q2,0
velt-js/velt-plugin-cursor,CLAUDE.md,2026-03-29T05:52:06Z,2026Q1,0
MJSSG/MText2Img,CLAUDE.md,2026-02-25T14:00:58Z,2026Q1,0
snaka/meeting-voice-check,CLAUDE.md,2026-06-18T21:47:49Z,2026Q2,1
andrewfullstack/test,CLAUDE.md,2026-04-23T12:04:22Z,2026Q2,0
vikkybharadwaj/ai_knowledgecenter,CLAUDE.md,2026-06-02T14:37:21Z,2026Q2,0
nathanial/silent-king-clj,CLAUDE.md,2025-11-17T00:18:17Z,2025Q4,0
fazleelahhee/organic-ai,CLAUDE.md,2026-04-25T08:41:35Z,2026Q2,0
KevinSchmitt1/mle-mlops-project,CLAUDE.md,2026-05-07T13:48:20Z,2026Q2,0
liuzijunnn-ops/footballLLM1,CLAUDE.md,2026-05-08T15:44:37Z,2026Q2,0
jamesKhor/Zcybernews,CLAUDE.md,2026-04-09T10:45:14Z,2026Q2,0
thebobby0x/studio0x.io,CLAUDE.md,2026-06-21T17:27:59Z,2026Q2,0
cenconq25/claude-code-app-studio,CLAUDE.md,2026-05-03T11:38:13Z,2026Q2,0
holochain/peerkit,CLAUDE.md,2026-04-23T09:24:55Z,2026Q2,0
Joint-Photon-Sciences-Institute/xraylarch-mcp,CLAUDE.md,2026-02-27T12:31:00Z,2026Q1,0
davraamides/todotxt-mode,CLAUDE.md,2026-01-24T13:27:09Z,2026Q1,0
justinabrahms/agent-chat,CLAUDE.md,2026-01-24T05:20:37Z,2026Q1,0
AvinashSKaranth/p2p-ai-react-native,CLAUDE.md,2026-05-22T08:00:02Z,2026Q2,1
seanwilliamcarroll/interpreters,CLAUDE.md,2026-03-26T18:19:49Z,2026Q1,0
jonkers/python-workout,CLAUDE.md,2025-12-31T15:55:44Z,2025Q4,0
nielsmadan/splashdown,CLAUDE.md,2026-06-15T21:19:36Z,2026Q2,0
xobotyi/cc-foundry,CLAUDE.md,2026-02-01T17:26:09Z,2026Q1,0
Zell0ss/AssistantStudies,CLAUDE.md,2026-02-12T20:40:56Z,2026Q1,0
alexkapoulas/BiomePruner,CLAUDE.md,2025-07-23T02:20:42Z,2025Q3,0
Snowball-AI-LLC/VoiceBabel,CLAUDE.md,2026-04-13T19:53:41Z,2026Q2,0
davidsheffield/WorkshopCode,CLAUDE.md,2026-03-12T03:13:38Z,2026Q1,0
prashhviji/social-work,CLAUDE.md,2026-04-09T02:48:35Z,2026Q2,1
enso-org/enso,CLAUDE.md,2026-04-24T17:01:56Z,2026Q2,0
smarroquinc10/14-SECOP-Dr-Camila-Mendoza,CLAUDE.md,2026-04-25T15:39:27Z,2026Q2,0
matteotitta/claude-code-marketing-quickstart,CLAUDE.md,2026-04-04T18:26:05Z,2026Q2,1
haribote/dotfiles,CLAUDE.md,2026-06-05T06:30:18Z,2026Q2,0
sombaner/Technical-Design-Review-Board,CLAUDE.md,2026-01-12T13:12:49Z,2026Q1,0
JHevia70/miningsc,CLAUDE.md,2026-06-09T20:51:20Z,2026Q2,0
domfahey/pdfviewer,CLAUDE.md,2025-07-20T12:33:24Z,2025Q3,0
darisadam/swift-template,CLAUDE.md,2026-06-04T04:01:16Z,2026Q2,0
umezawa0513/umejugg-siteswapmaster,CLAUDE.md,2026-06-06T16:18:07Z,2026Q2,1
tardigrada78/schulemargadantnet,CLAUDE.md,2026-05-25T12:38:07Z,2026Q2,1
zachallia/asstrology,CLAUDE.md,2025-10-26T20:17:59Z,2025Q4,1
yassineS/bio_ai_experiment,CLAUDE.md,2026-05-12T13:12:14Z,2026Q2,0
seaworld008/Commonly-used-high-value-skills,CLAUDE.md,2026-04-18T14:04:36Z,2026Q2,0
gabrielfmcoelho/Bridge,CLAUDE.md,2026-04-15T12:58:55Z,2026Q2,0
wolfwdavid/checkin_app,CLAUDE.md,2026-03-24T20:15:55Z,2026Q1,1
esong2001/esong2001.github.io,CLAUDE.md,2026-06-09T18:49:38Z,2026Q2,1
EffortlessMetrics/shipper-swarm,CLAUDE.md,2026-02-15T06:57:22Z,2026Q1,0
EffortlessMetrics/shipper,CLAUDE.md,2026-02-15T06:57:22Z,2026Q1,0
metascriptlang/compiler,CLAUDE.md,2026-02-25T11:19:45Z,2026Q1,0
thienchi2109/lims-lite,CLAUDE.md,2025-11-27T02:10:11Z,2025Q4,1
joaomagdaleno/minemod,CLAUDE.md,2025-09-28T10:01:00Z,2025Q3,0
golitter/coding-agent-pet,CLAUDE.md,2026-06-08T15:17:59Z,2026Q2,0
juanje/complex-system-kb,CLAUDE.md,2026-04-18T18:50:25Z,2026Q2,0
jkraemer/fera,CLAUDE.md,2026-03-20T06:53:41Z,2026Q1,0
hasna/skills,CLAUDE.md,2026-02-15T08:31:29Z,2026Q1,1
rahlplx/vibemate,CLAUDE.md,2026-06-26T21:29:21Z,2026Q2,0
NickCrew/Claude-Cortex,CLAUDE.md,2026-03-08T07:47:42Z,2026Q1,0
dracohan/code,CLAUDE.md,2026-02-22T02:20:19Z,2026Q1,0
spaarke-dev/spaarke,CLAUDE.md,2025-12-05T03:54:11Z,2025Q4,0
anchildress1/save-the-sun,CLAUDE.md,2026-06-06T05:28:50Z,2026Q2,1
tommy-xr/functor,CLAUDE.md,2026-06-07T23:23:46Z,2026Q2,0
Rustlib-tests/behave,CLAUDE.md,2026-03-10T15:39:34Z,2026Q1,0
PandaTechAM/be-lib-masstransit-outbox,CLAUDE.md,2026-03-17T09:43:40Z,2026Q1,0
thamam/clad-board,CLAUDE.md,2026-02-26T17:45:39Z,2026Q1,0
joshspeagle/frasian_tilting,CLAUDE.md,2025-12-10T15:27:18Z,2025Q4,0
labeveryday/stock-scanner,CLAUDE.md,2025-07-30T13:43:50Z,2025Q3,1
WhiteTomX/prompt-cloak,CLAUDE.md,2026-03-31T19:40:40Z,2026Q1,1
DaVas1410/cnn_astro,CLAUDE.md,2026-05-06T05:48:39Z,2026Q2,0
Chris443C/Warextdll,CLAUDE.md,2026-04-20T17:59:14Z,2026Q2,0
liminalcommons/chora-base,CLAUDE.md,2025-11-05T02:54:48Z,2025Q4,0
w3bsuki/dr1plo,CLAUDE.md,2025-08-03T16:57:07Z,2025Q3,1
jpoutrin/portman-cli,CLAUDE.md,2025-11-26T09:45:12Z,2025Q4,0
emansom/canvas-ultrafast,CLAUDE.md,2026-03-01T03:47:09Z,2026Q1,1
Aureliolo/story-factory,CLAUDE.md,2026-01-15T10:28:44Z,2026Q1,0
binna0728/obsidian,CLAUDE.md,2025-12-31T20:17:02Z,2025Q4,0
anosatsuk124/github-notify,CLAUDE.md,2025-07-24T06:09:13Z,2025Q3,0
dcurlewis/ai-context-system,CLAUDE.md,2026-02-11T11:58:46Z,2026Q1,0
scttfrdmn/aws-research-train-demo,CLAUDE.md,2026-06-12T20:44:59Z,2026Q2,0
como-technologies/adroit,CLAUDE.md,2026-04-15T01:24:50Z,2026Q2,0
hunmer/agent-spaces,CLAUDE.md,2026-05-01T17:16:33Z,2026Q2,0
Jeffreyyvdb/MusicHoarder,CLAUDE.md,2026-04-20T15:40:56Z,2026Q2,0
Yappaflow/Yappaflow,CLAUDE.md,2026-04-24T19:06:01Z,2026Q2,0
David-Li0406/meta-skill-evloving,CLAUDE.md,2026-05-18T07:54:27Z,2026Q2,0
cpliakas/claude-code-engineering-leaders,CLAUDE.md,2026-03-10T20:49:31Z,2026Q1,0
Arx-Game/arxii,CLAUDE.md,2025-07-27T01:19:29Z,2025Q3,0
Aledon8/OpenLeukemia,CLAUDE.md,2026-05-23T12:16:21Z,2026Q2,1
jfmyers9/agent,CLAUDE.md,2026-01-24T04:25:24Z,2026Q1,0
Open-Document-Alliance/Agent-Review-CLI,CLAUDE.md,2026-02-20T00:35:37Z,2026Q1,1
helpermedia/AppWaffle,CLAUDE.md,2025-12-26T16:10:56Z,2025Q4,1
guedesopaulo/python_dev,CLAUDE.md,2026-04-28T21:13:28Z,2026Q2,0
bravohenry/fri-portfolio,CLAUDE.md,2026-03-29T20:23:04Z,2026Q1,1
firetiger-oss/connect-sse,CLAUDE.md,2026-05-03T19:17:19Z,2026Q2,0
Lucasmind/nodeava-workshop-public,CLAUDE.md,2026-05-22T12:57:31Z,2026Q2,0
raktim-mondol/co-scientist,CLAUDE.md,2026-06-12T13:46:09Z,2026Q2,1
hongmaple0820/scale-engine,CLAUDE.md,2026-05-20T13:25:30Z,2026Q2,1
wang-junjian/wang-junjian.github.io,CLAUDE.md,2026-04-19T14:27:59Z,2026Q2,1
getcatalystiq/agent-plane,CLAUDE.md,2026-03-01T06:51:23Z,2026Q1,1
Alfred768/xclaw,CLAUDE.md,2026-03-16T22:01:24Z,2026Q1,1
DobroslavRadosavljevic/hsize,CLAUDE.md,2026-02-12T15:53:09Z,2026Q1,0
Dialog-IF/aamachine,CLAUDE.md,2026-05-13T17:00:32Z,2026Q2,0
PedroGiudice/lex-vector,CLAUDE.md,2025-11-07T23:10:36Z,2025Q4,0
SahajNanda/PktReplay,CLAUDE.md,2026-05-16T05:04:49Z,2026Q2,0
FreePeak/LeanKG,CLAUDE.md,2026-03-25T05:43:36Z,2026Q1,0
nyvlemyt/MultiAgentOS,CLAUDE.md,2026-05-24T20:03:32Z,2026Q2,0
propeller-heads/tycho,CLAUDE.md,2025-07-29T18:30:47Z,2025Q3,0
hectcastro/gh-metrics,CLAUDE.md,2025-11-07T12:02:11Z,2025Q4,0
rexleimo/agno-Go,CLAUDE.md,2025-10-01T04:33:39Z,2025Q4,0
Sean-Leishman/second-brain,CLAUDE.md,2026-05-06T21:43:29Z,2026Q2,0
chainkemists/CkFoundation,CLAUDE.md,2026-04-15T20:26:52Z,2026Q2,0
openshift/ocm-agent,CLAUDE.md,2025-09-18T15:03:32Z,2025Q3,0
luccahuguet/yazelix,CLAUDE.md,2025-07-26T14:40:50Z,2025Q3,0
eyalamirmusic/cpp_data_structures,CLAUDE.md,2026-04-16T16:48:19Z,2026Q2,0
camptocamp/geospatial-sdk,CLAUDE.md,2026-06-11T15:33:14Z,2026Q2,1
decentraland/events,CLAUDE.md,2026-05-05T12:26:26Z,2026Q2,0
JoeStrout/miniscript2,CLAUDE.md,2025-11-15T20:06:11Z,2025Q4,0
Sautner-Studio-LLC/krill-oss,CLAUDE.md,2026-04-19T21:31:40Z,2026Q2,0
badlogic/vs-claude,CLAUDE.md,2025-06-24T23:23:59Z,2025Q2,1
BrowserOperator/browser-operator-core,CLAUDE.md,2026-01-14T04:35:53Z,2026Q1,0
nirholas/universal-crypto-mcp,CLAUDE.md,2026-02-11T04:23:59Z,2026Q1,0
Petyok/SSHub,CLAUDE.md,2026-05-24T14:58:05Z,2026Q2,0
en-dash-consulting/html-in-canvas-dot-dev,CLAUDE.md,2026-04-18T03:41:35Z,2026Q2,1
Procrat/dotfiles,CLAUDE.md,2026-05-18T13:22:27Z,2026Q2,0
wboayue/fusion-ahrs,CLAUDE.md,2025-06-01T07:06:26Z,2025Q2,0
glossarist/iev,CLAUDE.md,2026-04-27T01:33:57Z,2026Q2,0
vichannnnn/holy-grail,CLAUDE.md,2026-01-14T17:55:54Z,2026Q1,0
Roznoshchik/Lurnby,CLAUDE.md,2025-12-13T16:46:42Z,2025Q4,0
sadopc/magnetism,CLAUDE.md,2026-02-15T07:27:27Z,2026Q1,0
chetstriker/LLMtary,CLAUDE.md,2026-03-19T03:21:46Z,2026Q1,0
mshogin/archlint,CLAUDE.md,2026-03-23T20:07:53Z,2026Q1,0
MuhammadUsmanGM/claude-code-best-practices,CLAUDE.md,2026-04-23T15:35:59Z,2026Q2,0
PeggyJV/sommelier-strangelove,CLAUDE.md,2026-01-05T19:06:47Z,2026Q1,1
Accenture/DBTestCompareGenerator,CLAUDE.md,2026-05-29T11:51:01Z,2026Q2,0
ichiroc/chatgpt2scratch,CLAUDE.md,2026-03-07T01:14:15Z,2026Q1,0
NikolasMarkou/dl_techniques,CLAUDE.md,2026-03-30T11:11:10Z,2026Q1,0
manifesto-ai/core-legacy,CLAUDE.md,2025-12-25T04:30:59Z,2025Q4,0
Voting-Rights-Code/Equitable-Polling-Locations,CLAUDE.md,2026-03-19T05:26:20Z,2026Q1,0
nyakang/nyaterm,CLAUDE.md,2026-04-12T01:16:56Z,2026Q2,1
riba2534/feishu-cli,CLAUDE.md,2026-01-21T09:31:13Z,2026Q1,0
wang-junjian/wikillm,CLAUDE.md,2026-04-07T13:01:17Z,2026Q2,0
Automattic/newspack-workspace,CLAUDE.md,2026-02-13T13:01:24Z,2026Q1,0
rderaison/bromure,CLAUDE.md,2026-03-10T22:28:30Z,2026Q1,0
NetraRuntime/sam3.c,CLAUDE.md,2026-03-29T19:58:58Z,2026Q1,0
Jinjinov/OpenHabitTracker,CLAUDE.md,2026-07-05T13:15:58Z,2026Q3,0
sethlaw/sputr,CLAUDE.md,2026-02-18T02:44:10Z,2026Q1,0
jonit-dev/vibe-coder-3d,CLAUDE.md,2025-06-10T00:58:50Z,2025Q2,1
bmmmm/bitcircus101,CLAUDE.md,2026-03-27T20:31:19Z,2026Q1,0
chappyasel/meta-kb,CLAUDE.md,2026-04-04T19:18:42Z,2026Q2,0
rpmessner/waveform,CLAUDE.md,2025-12-07T01:10:21Z,2025Q4,0
bonitasoft/bonita-artifacts-model,CLAUDE.md,2026-01-13T16:07:37Z,2026Q1,0
openshift/cluster-kube-descheduler-operator,CLAUDE.md,2026-06-25T11:00:34Z,2026Q2,0
sthalbert/Longue-Vue,CLAUDE.md,2026-04-30T11:51:42Z,2026Q2,0
miniapp-tool/mptool,CLAUDE.md,2026-03-26T04:16:10Z,2026Q1,0
nvdweem/PCPanel,CLAUDE.md,2026-06-14T09:34:14Z,2026Q2,0
terrylica/cc-skills,CLAUDE.md,2025-12-09T01:00:01Z,2025Q4,0
thoughtspot/ts-chart-sdk,CLAUDE.md,2026-02-10T16:47:01Z,2026Q1,1
schmitthub/clawker,CLAUDE.md,2026-01-15T04:48:52Z,2026Q1,0
LedgerHQ/app-boilerplate,CLAUDE.md,2026-06-08T11:38:37Z,2026Q2,0
CIRISAI/CIRISAgent,CLAUDE.md,2025-06-11T22:47:23Z,2025Q2,0
NazarKalytiuk/tarn,CLAUDE.md,2026-03-28T15:31:24Z,2026Q1,0
nazozokc/dotfiles,CLAUDE.md,2026-02-21T14:25:22Z,2026Q1,0
Uniswap/uniswapx-parameterization-api,CLAUDE.md,2026-06-17T02:30:42Z,2026Q2,0
dwchiang/nginx-php-fpm,CLAUDE.md,2026-05-17T08:32:57Z,2026Q2,0
queelius/infinigram,CLAUDE.md,2026-04-25T17:26:51Z,2026Q2,1
EnigmaCurry/rigbook,CLAUDE.md,2026-03-15T18:35:17Z,2026Q1,1
darkraise/flashpoint-web,CLAUDE.md,2026-01-16T16:58:21Z,2026Q1,0
AntonioBlago/skillmind,CLAUDE.md,2026-03-21T16:10:56Z,2026Q1,0
bowers-illinois-edu/manytestsr,CLAUDE.md,2025-08-18T18:25:47Z,2025Q3,0
QubiTO-team/qubito-website,CLAUDE.md,2025-09-27T12:32:16Z,2025Q3,1
alejandrofonsecacuza/Scope,CLAUDE.md,2026-04-30T17:14:38Z,2026Q2,0
companionintelligence/JustInCase,CLAUDE.md,2026-05-29T01:58:19Z,2026Q2,0
Gajesh2007/open-deep-research,CLAUDE.md,2025-12-20T23:46:30Z,2025Q4,0
nat-n/jetliner,CLAUDE.md,2026-01-13T11:29:32Z,2026Q1,0
BlackHC/infer_return_type,CLAUDE.md,2025-10-13T10:17:31Z,2025Q4,0
sliday/slag,CLAUDE.md,2026-01-28T13:05:01Z,2026Q1,0
fengfaan/interview,CLAUDE.md,2026-04-27T09:17:23Z,2026Q2,0
LindaHaviv/second-brain,CLAUDE.md,2026-07-11T22:31:31Z,2026Q3,0
yahiafarghaly/PrettyOS,CLAUDE.md,2026-01-21T21:48:23Z,2026Q1,0
semos-labs/attyx,CLAUDE.md,2026-02-23T21:02:16Z,2026Q1,0
six2dez/burp-ai-agent,CLAUDE.md,2026-05-13T07:43:07Z,2026Q2,0
mindlogic-ai/logician-ui,CLAUDE.md,2025-09-26T02:08:46Z,2025Q3,1
radareorg/radare2,AGENTS.md,2025-09-23T07:34:26Z,2025Q3,0
tldraw/tldraw,AGENTS.md,2026-04-20T13:07:51Z,2026Q2,0
VRSEN/agency-swarm,AGENTS.md,2025-12-29T15:22:12Z,2025Q4,0
nextdns/nextdns,AGENTS.md,2026-02-22T06:26:55Z,2026Q1,0
sei-protocol/sei-chain,AGENTS.md,2026-03-12T14:40:25Z,2026Q1,0
yanyiwu/nodejieba,AGENTS.md,2026-04-18T08:43:58Z,2026Q2,0
shuvonsec/claude-bug-bounty,AGENTS.md,2026-06-07T13:20:34Z,2026Q2,0
pvieito/PythonKit,AGENTS.md,2025-09-11T10:27:42Z,2025Q3,0
r-lib/pkgdown,AGENTS.md,2026-07-06T21:57:21Z,2026Q3,0
hughjonesd/huxtable,AGENTS.md,2025-08-05T18:35:03Z,2025Q3,0
meain/dotfiles,AGENTS.md,2026-03-11T06:07:00Z,2026Q1,0
enarjord/passivbot,AGENTS.md,2026-02-02T14:45:02Z,2026Q1,0
DataDog/stratus-red-team,AGENTS.md,2026-02-11T08:52:29Z,2026Q1,0
Menghuan1918/drawio2go,AGENTS.md,2025-10-27T12:17:37Z,2025Q4,1
golemcloud/golem,AGENTS.md,2026-02-06T11:27:04Z,2026Q1,0
diffblue/cbmc,AGENTS.md,2026-01-19T12:51:45Z,2026Q1,0
1Password/SCAM,AGENTS.md,2026-02-11T22:28:20Z,2026Q1,0
arnica/depsguard,AGENTS.md,2026-04-07T18:06:31Z,2026Q2,0
Hawkynt/2dimagefilter,AGENTS.md,2026-06-05T11:51:16Z,2026Q2,0
Smith42/astroPT,AGENTS.md,2025-09-09T15:56:08Z,2025Q3,0
honishi/Hakumai,AGENTS.md,2025-09-17T09:47:15Z,2025Q3,0
topocm/topocm_content,AGENTS.md,2025-11-14T01:15:41Z,2025Q4,0
livekit/client-sdk-swift,AGENTS.md,2026-01-20T09:47:16Z,2026Q1,0
basedosdados/pipelines,AGENTS.md,2026-02-19T11:41:40Z,2026Q1,0
HorusGoul/eslint-plugin-react-render-types,AGENTS.md,2026-02-02T13:00:22Z,2026Q1,1
huangruiteng/loopx,AGENTS.md,2026-06-16T16:48:12Z,2026Q2,0
edwnh/dqmc,AGENTS.md,2025-12-28T09:19:50Z,2025Q4,0
m-a-d-n-e-s-s/madness,AGENTS.md,2025-11-02T14:38:51Z,2025Q4,0
kubernetes-sigs/cluster-api-provider-openstack,AGENTS.md,2025-10-23T10:11:16Z,2025Q4,0
IngvarConsulting/unica,AGENTS.md,2026-07-06T22:07:45Z,2026Q3,0
hotosm/ui,AGENTS.md,2026-03-04T14:12:07Z,2026Q1,0
ViewComfy/ViewComfy,AGENTS.md,2026-01-02T19:57:21Z,2026Q1,1
supabase/pg-toolbelt,AGENTS.md,2026-03-06T12:10:38Z,2026Q1,0
GoogleContainerTools/config-sync,AGENTS.md,2026-06-26T00:39:14Z,2026Q2,0
audacity/audacity.github.io,AGENTS.md,2026-02-17T10:14:43Z,2026Q1,1
joske/yserver,AGENTS.md,2026-04-29T11:20:29Z,2026Q2,0
byigitt/postmaker-x,AGENTS.md,2026-01-20T07:47:45Z,2026Q1,0
samuelcaldas/NinjaTrader.UnitTest,AGENTS.md,2026-01-03T05:07:38Z,2026Q1,0
ongoingai/gateway,AGENTS.md,2026-02-17T22:30:30Z,2026Q1,0
apache/struts,AGENTS.md,2026-05-15T11:27:53Z,2026Q2,0
purton-tech/rust-on-nails,AGENTS.md,2025-10-10T11:32:10Z,2025Q4,0
